CAD_U|CAFKU|MIR4|AIQ|20120611084934|FKU-2|||//6/27/2012 12:49:05 AM
CAD_U|CAFKU|MIR4|AIQ|20120611084934|FKU-2|||//6/27/2012 12:49:05 AM
CAD_U|CAFKU|MIR4|AIQ|20120611084934|FKU-2|||//6/27/2012 12:49:05 AM
CAD_U|CALPF|AA07|AIQ|20120621131251|SMAAB|||//6/27/2012 1:00:02 AM
CAD_U|CACDF|AA340|AIQ|20120626164425|R-8A|||//6/27/2012 1:00:03 AM
CAD_U|CACDF|AA460|AIQ|20110708114536|HAAB|||//6/27/2012 1:00:04 AM
CAD_U|CASLC|AIRPMGR|AIQ|20120523100459|A-36A|||//6/27/2012 1:00:05 AM
CAD_U|CASLU|AMB-X1|AIQ|20120610162926|A-36H|||//6/27/2012 1:00:06 AM
CAD_U|CASLU|AMB-X2|AIQ|20120523100459|A-36H|||//6/27/2012 1:00:07 AM
CAD_U|CASBY|B15|AIQ|20120623135920|B-15A|||//6/27/2012 1:00:08 AM
CAD_U|CASLC|B21|AIQ|20120612195404|A-22A|||//6/27/2012 1:00:09 AM
CAD_U|CASLC|B33|AIQ|20120623160030|NACI1A|||//6/27/2012 1:00:10 AM
CAD_U|CASLC|B34|AIQ|20120623153419|O-3A|||//6/27/2012 1:00:11 AM
CAD_U|CASLU|B3411|AOR|20120626222710|A-22B|||//6/27/2012 1:00:12 AM
CAD_U|CASLU|B3413|AOR|20120626222702|K-11B|||//6/27/2012 1:00:14 AM
CAD_U|CASLU|B3419|AOR|20120626203908|A-36I|||//6/27/2012 1:00:15 AM
CAD_U|CASLU|B3422|AIQ|20120625073545|A-36E|||//6/27/2012 1:00:16 AM
CAD_U|CASLC|B62|AIQ|20120621171212|A-24C|||//6/27/2012 1:00:17 AM
CAD_U|CAPSM|B64|AIQ|20120621173456|A-32M||OUT|//6/27/2012 1:00:18 AM
CAD_U|CALPF|BLPF|AIQ|20110823112425|166-K|||//6/27/2012 1:00:19 AM
CAD_U|CAPRF|BPRF|AIQ|20120626164031|R-14B|||//6/27/2012 1:00:20 AM
CAD_U|CASLC|BS62|AIQ|20120624195535|A-24C|||//6/27/2012 1:00:21 AM
CAD_U|CAAYG|BS6655|AIQ|20110809211940|E-7G|||//6/27/2012 1:00:22 AM
CAD_U|CATEM|BS7145|AIQ|20120619173317|T-5B|||//6/27/2012 1:00:23 AM
CAD_U|CASBC|BSBC|AIQ|20110717132318|SBC-24|||//6/27/2012 1:00:24 AM
CAD_U|CASLO|BSLO|AIQ|20120523102838|A-16D|||//6/27/2012 1:00:25 AM
CAD_U|CASBC|C308|AIQ|20120612161650|SYHB|||//6/27/2012 1:00:26 AM
CAD_U|CASBC|C309|AIQ|20120510195034|SYHB|||//6/27/2012 1:00:27 AM
CAD_U|CASLU|C3400|AIQ|20120625060634|A-36E|||//6/27/2012 1:00:28 AM
CAD_U|CACHP|C40|AIQ|20090919024322|FAAB|||//6/27/2012 1:00:29 AM
CAD_U|CACDF|C406|AIQ|20120625131722|BVHB|||//6/27/2012 1:00:30 AM
CAD_U|CALPF|C527|AIQ|20120622200501|E-3A|||//6/27/2012 1:00:31 AM
CAD_U|CALPF|C528|AIQ|20111003105938|SYHB|||//6/27/2012 1:00:32 AM
CAD_U|CACHP|C70|AIQ|20120625084823|R-8C|||//6/27/2012 1:00:33 AM
CAD_U|CASLU|CAM21|AIQ|20120616182615|VNT|||//6/27/2012 1:00:34 AM
CAD_U|CASLU|CAM22|AIQ|20120625121402|VNT|||//6/27/2012 1:00:35 AM
CAD_U|CASLU|CAM23|AIQ|20120626174045|VNT|||//6/27/2012 1:00:36 AM
CAD_U|CAATS|CATS|AIQ|20110620224628|T-13C|||//6/27/2012 1:00:37 AM
CAD_U|CAAYG|CAYG|AIQ|20120529162616|E-7G|||//6/27/2012 1:00:38 AM
CAD_U|CACAY|CCAY|AIQ|20120621220457|B-7B|||//6/27/2012 1:00:39 AM
CAD_U|CACMB|CCMB|AIQ|20120625084823|G-16B|||//6/27/2012 1:00:41 AM
CAD_U|CAGRO|CGRO|AIQ|20120608222911|E-6D|||//6/27/2012 1:00:42 AM
CAD_U|CATEM|CHAPLAIN|AIQ|20120407161302|T-5B|||//6/27/2012 1:00:43 AM
CAD_U|CAHCF|CHCF|AIQ|20110602174957|G-10A|||//6/27/2012 1:00:44 AM
CAD_U|CACMB|CMBRES|AIQ|20120625083913|G-16B|||//6/27/2012 1:00:45 AM
CAD_U|CAMRB|CMRB|AIQ|20120402174558|B-11C|||//6/27/2012 1:00:46 AM
CAD_U|CASBY|CO15|AIQ|20120622183907|B-15A|||//6/27/2012 1:00:47 AM
CAD_U|CASLC|COAST|AIQ|20120625083913|B-11B|||//6/27/2012 1:00:48 AM
CAD_U|CASLU|COVER|AIQ|20110415203223|A-36A|||//6/27/2012 1:00:49 AM
CAD_U|CASLU|COVER11|AIQ|20120404145941|B-7A|||//6/27/2012 1:00:50 AM
CAD_U|CASBY|COVER15|AIQ|20120622183602|B-15A|||//6/27/2012 1:00:51 AM
CAD_U|CAMRB|COVER53|AIQ|20120624151558|B-11C|||//6/27/2012 1:00:52 AM
CAD_U|CACMB|COVER57|AIQ|20120625083913|G-16B|||//6/27/2012 1:00:53 AM
CAD_U|CAOCE|COVER61|AIQ|20120626141733|N-12D|||//6/27/2012 1:00:54 AM
CAD_U|CASLU|COVEROAK|AIQ|20120624194725|A-32K|||//6/27/2012 1:00:55 AM
CAD_U|CASLC|CR21|AIQ|20120622140116|A-22A|||//6/27/2012 1:00:56 AM
CAD_U|CASLC|CR221|AIQ|20120314144616|A-22A|||//6/27/2012 1:00:57 AM
CAD_U|USPVT|CS2|AIQ|20110916054226|CS2|||//6/27/2012 1:00:58 AM
CAD_U|USPVT|CS5|AIQ|20120413193226|CS5|||//6/27/2012 1:00:59 AM
CAD_U|USPVT|CS7|AIQ|20120626063020|CS7|||//6/27/2012 1:01:00 AM
CAD_U|CATEM|CTEM|AIQ|20091022131838|T-5B|||//6/27/2012 1:01:01 AM
